"lote_id","etapa","versao","data","produtor","revisor","escopo","aulas_fontes_total","estado","parecer","bloqueadores","integracao_app","proximo_passo"
"LOTE-000-INVENTARIO","etapa-0-inventario","v01","2026-09-14","Antigravity","Codex","Inventário e reconciliação de 631 entradas (300 Tríade + 331 Kaiser)","631 entradas / 1814 arquivos referenciados / 2090 físicos","corrigir_e_reenviar","etapa-0-inventario/REVISAO-CODEX-v01.md","Correções E0-01 a E0-09: totais; 276 arquivos sem registro; evidências narrativas; candidatos; schema e estados de inspeção","Não realizada","Entregar v02 e arquitetura provisória conforme BRIEF-ETAPA-1-v01.md"
"LOTE-000-INVENTARIO","etapa-0-inventario","v02","2026-09-14","Antigravity","Codex","Reconciliação completa com ARQUIVOS-FISICOS.json (2.090 arquivos) e correções E0-01 a E0-09","631 entradas / 1814 associadas / 276 não associadas","corrigir_e_reenviar","etapa-1-curriculo/REVISAO-CODEX-v01.md","Concordância documental; referências físicas e evidências; cobertura curricular; progressão e schemas","Não realizada","BRIEF-CORRECAO-ETAPA-1-v02.md; Etapa 2 não liberada"
"LOTE-001-CURRICULO","etapa-1-curriculo","v01","2026-09-14","Antigravity","Codex","Arquitetura curricular provisória Tríade + Kaiser, Grafo DAG de 26 habilidades, 13 módulos, 13 aulas preliminares, matriz 631 fontes e calibração de 6 aulas","631 fontes na matriz / 26 habilidades / 13 módulos / 6 aulas de calibração","corrigir_e_reenviar","etapa-1-curriculo/REVISAO-CODEX-v01.md","Concordância documental; referências físicas e evidências; cobertura curricular; progressão e schemas","Não realizada","BRIEF-CORRECAO-ETAPA-1-v02.md; Etapa 2 não liberada"
"LOTE-000-INVENTARIO","etapa-0-inventario","v03","2026-09-14","Antigravity","Codex","Correção factual da documentação de inventário (E1-01), eliminação de cabeçalho binário falso, hashes exatos e rastreabilidade total","631 entradas / 1814 associadas / 276 não associadas / 2090 físicos","corrigir_e_reenviar","etapa-1-curriculo/REVISAO-CODEX-v02.md","Correções localizadas F-01 a F-07; aulas completas ainda pendentes","Não realizada","Fechamento documental e Etapa 2A conforme BRIEF-ETAPA-2A-INSPECAO.md"
"LOTE-001-CURRICULO","etapa-1-curriculo","v02","2026-09-14","Antigravity","Codex","Arquitetura curricular fechada: 29 habilidades (8 domínios), 33 aulas propostas (cobertura integral), 6 candidatos auditados sem divergência física, matriz 631 fontes reconciliada, 7 testes negativos","631 fontes na matriz / 29 habilidades / 33 aulas propostas / 6 candidatos de calibração / 707 evidências","corrigir_e_reenviar","etapa-1-curriculo/REVISAO-CODEX-v02.md","Correções localizadas F-01 a F-07; aulas completas ainda pendentes","Não realizada","Fechamento documental e Etapa 2A conforme BRIEF-ETAPA-2A-INSPECAO.md"
"LOTE-000-INVENTARIO","etapa-0-inventario","v04","2026-09-14","Antigravity","Codex","Fechamento factual definitivo: retificação de arq-0027 (vídeo MP4) e arq-0415 (HTML), 2.090 arquivos físicos, 631 entradas reconciliadas","631 entradas / 1814 associadas / 276 não associadas / 2090 físicos","aprovado_escopo_provisorio","etapa-2-calibracao/REVISAO-CODEX-v01-inspecao.md","Limites de homologação e schema descritos no parecer","Não realizada","Corrigir Etapa 2A sem refazer base aprovada"
"LOTE-001-CURRICULO","etapa-1-curriculo","v03","2026-09-14","Antigravity","Codex","Fechamento da arquitetura curricular: F-01 (fontes reais de choro e baião), F-02 (matriz de fontes com cardinalidade livre e relações declaradas), F-04/F-05 (schemas com minLength e regras condicionais por disciplina), 7 testes negativos aprovados","633 linhas na matriz / 29 habilidades / 33 aulas propostas (núcleo inicial) / 756 evidências","aprovado_escopo_provisorio","etapa-2-calibracao/REVISAO-CODEX-v01-inspecao.md","Limites de homologação e schema descritos no parecer","Não realizada","Corrigir Etapa 2A sem refazer base aprovada"
"LOTE-002-CALIBRACAO","etapa-2-calibracao","v01-inspecao","2026-09-14","Antigravity","Codex","Etapa 2A — Inspeção física e dossiês dos 6 candidatos de calibração: 24 arquivos físicos auditados byte a byte, transcrições e revisões musicais aprofundadas, planos de aula baseados em evidência","6 candidatos / 24 arquivos físicos auditados / 6 dossiês / 6 planos de aula","corrigir_e_reenviar","etapa-2-calibracao/REVISAO-CODEX-v01-inspecao.md","I-01 a I-10: origens; notas e oitavas; Valsa 3/8; evidências e planos","Não realizada","BRIEF-CORRECAO-ETAPA-2A-v02.md; corrigir cand-004 primeiro"
"CAND-004-LEITURA","etapa-2-calibracao","v02-inspecao","2026-09-14","Antigravity","Codex","Revisão curta do candidato de leitura","1 candidato / 2 fontes","corrigir_e_reenviar","etapa-2-calibracao/REVISAO-CODEX-cand004-v02.md","C4-01 a C4-05: vínculo curricular; barras da fonte versus adaptação; contagem e critérios","Não realizada","BRIEF-CAND004-v03.md"
"CAND-004-LEITURA","etapa-2-calibracao","v03-inspecao","2026-09-14","Antigravity","Codex","Candidato aprovado para produzir aula completa","1 candidato / 14 eventos","aprovado_para_producao_2b","etapa-2-calibracao/REVISAO-CODEX-cand004-v03.md","Ajustes de apresentação e instrução exigidos na produção 2B; integração pendente","Não realizada","BRIEF-ETAPA-2B-CAND004.md"
