evidencia_id,entidade_id,tipo_entidade,fonte_tipo,referencia_arquivo_ou_id,afirmacao_pedagogica,status_verificacao,data_registro,observacoes
evid-hab-rit-001,hab-rit-001,habilidade,curriculo,aula-mod-1-2; aula-mod-1-8,"Manutenção de pulso isócrono em 4/4 a 60 BPM é condição indispensável para qualquer levada rítmica",verificado_estrutural,2026-09-14,"Validado no grafo DAG sem ciclos"
evid-hab-rit-003,hab-rit-003,habilidade,arquivo_video,arq-0056 (00000932.mp4),"A levada de balada básica serve como padrão métrico central para acordes abertos em 4/4",verificado_metadados,2026-09-14,"Vídeo com 109.9 MB associado a aula-mod-1-17"
evid-hab-tec-001,hab-tec-001,habilidade,arquivo_video,arq-0024 (00000889.mp4),"Postura ergonômica sem elevação do ombro nem hiperextensão de punho previne lesões motoras",verificado_metadados,2026-09-14,"Associado a aula-mod-1-4"
evid-hab-tec-003,hab-tec-003,habilidade,arquivo_video,arq-0036; arq-0038,"Uso de dedo guia/pivô permite troca fluente entre Lá e Ré sem interrupção de pulso",verificado_metadados,2026-09-14,"Fusão de aula-mod-1-10 e aula-mod-1-11"
evid-hab-ouv-002,hab-ouv-002,habilidade,arquivo_video,arq-0046; arq-0052,"Reconhecimento de intervalos de 2ªM e 3ªM fundamenta a percepção auditiva melódica e harmônica",verificado_metadados,2026-09-14,"Fusão de aula-mod-1-15 e aula-mod-1-16"
evid-hab-lei-003,hab-lei-003,habilidade,arquivo_pdf,arq-0805 a arq-0811,"Partituras fáceis em clave de sol permitem alfabetização musical em 1ª posição sem sobrecarga cognitiva",verificado_metadados,2026-09-14,"7 partituras PDF validadas no lote Kaiser"
evid-hab-rit-004,hab-rit-004,habilidade,arquivo_video,arq-0447 (00000057.mp4),"Técnica de thumb slap percussivo com rotação do antebraço expande a paleta de acompanhamento pop",verificado_metadados,2026-09-14,"Associado a aula-kaiser-18-5"
evid-hab-sol-001,hab-sol-001,habilidade,arquivo_video_pdf,arq-0879; arq-0881,"Pequena Valsa de Carulli estrutura a polifonia a duas vozes com melodia cantabile e baixos nos bordões",verificado_metadados,2026-09-14,"Associado a aula-kaiser-137-10"
evid-prop-001,aula-prop-001,aula_proposta,decisao_editorial,aula-mod-1-4,"Postura e empunhadura devem constituir a primeira experiência orientada do aluno",verificado_estrutural,2026-09-14,"Alocada em mod-ped-01"
evid-prop-005,aula-prop-005,aula_proposta,decisao_editorial,aula-mod-1-10; aula-mod-1-11,"Fundir explicação mecânica e treino de fluência de A e D em aula única executável",verificado_estrutural,2026-09-14,"Evita fragmentação didática desnecessária"
evid-prop-007,aula-prop-007,aula_proposta,decisao_editorial,aula-mod-1-17,"Balada básica mantida como aula individual para ancorar a calibração de ritmo",verificado_estrutural,2026-09-14,"Aula candidata 1 de calibração"
evid-prop-009,aula-prop-009,aula_proposta,decisao_editorial,aula-mod-1-15; aula-mod-1-16,"Fusão de teoria de intervalos e fixação auditiva para compor ciclo completo de percepção",verificado_estrutural,2026-09-14,"Aula candidata 3 de calibração"
evid-prop-010,aula-prop-010,aula_proposta,decisao_editorial,aula-kaiser-124-3,"Partituras fáceis mantida como aula individual para calibrar alfabetização notacional",verificado_estrutural,2026-09-14,"Aula candidata 4 de calibração"
evid-prop-012,aula-prop-012,aula_proposta,decisao_editorial,aula-kaiser-18-5,"Thumb slap mantida como aula individual para calibrar acompanhamento percussivo",verificado_estrutural,2026-09-14,"Aula candidata 5 de calibração"
evid-prop-013,aula-prop-013,aula_proposta,decisao_editorial,aula-kaiser-137-10,"Pequena Valsa mantida como aula individual para calibrar violão solo a duas vozes",verificado_estrutural,2026-09-14,"Aula candidata 6 de calibração"
evid-matriz-631,matriz_cobertura,sistema,inventario_v02,INVENTARIO.json,"Todas as 631 entradas do catálogo estão referenciadas na MATRIZ-FONTE-AULA.csv",verificado_programatico,2026-09-14,"Cobertura exaustiva de 100%"
