habilidade_id,nome,dominio,tipo_requisito,aula_unidade_proposta_id,plano_ensino,plano_pratica,plano_saida,fonte_candidata_id,lacuna_assumida
hab-rit-001,"Manutenção de Pulso Isócrono",ritmo,obrigatorio_fundamental,aula-prop-003,"Apresentação teórica e demonstração do gesto motor de Manutenção de Pulso Isócrono","Ligue o metrônomo a 60 BPM. Conte '1, 2, 3, 4' em voz alta batendo o pé ou a mão no tempo.","16 compassos consecutivos sem aceleração, desaceleração involuntária ou parada",aula-mod-1-2,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-rit-002,"Subdivisão Rítmica de Colcheias",ritmo,obrigatorio_com_prerequisito,aula-prop-004,"Apresentação teórica e demonstração do gesto motor de Subdivisão Rítmica de Colcheias","Com metrônomo a 60 BPM, marque o pulso e toque toques alternados para baixo e para cima por tempo.","8 compassos mantendo a distância temporal simétrica entre o tempo e o contratempo",aula-mod-1-2,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-rit-003,"Execução da Levada Balada Básica",ritmo,obrigatorio_com_prerequisito,aula-prop-008,"Apresentação teórica e demonstração do gesto motor de Execução da Levada Balada Básica","Toque o ciclo da levada 4 vezes consecutivas em cordas abafadas mantendo o movimento contínuo.","8 repetições contínuas do ciclo da levada sem interrupção de pulso na virada do compasso",aula-mod-1-17,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-rit-004,"Levada com Elemento Percussivo (Thumb Slap)",ritmo,obrigatorio_com_prerequisito,aula-prop-030,"Apresentação teórica e demonstração do gesto motor de Levada com Elemento Percussivo (Thumb Slap)","Execute 4 compassos aplicando o slap do polegar nos tempos 2 e 4 em cordas abafadas.","8 compassos contínuos sustentando a percussão nos tempos 2 e 4 sem tensão muscular no punho",aula-kaiser-18-5-thumb-slap-batida-fingerstyle,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-rit-005,"Levada de Bossa Nova Básica (Estilo João Gilberto)",ritmo,obrigatorio_com_prerequisito,aula-prop-020,"Apresentação teórica e demonstração do gesto motor de Levada de Bossa Nova Básica (Estilo João Gilberto)","Isole o polegar marcando o tempo 1 e 3 enquanto os dedos puxam o acorde nos contratempos.","8 compassos contínuos preservando a independência entre baixo uniforme e acorde sincopado",aula-mod-5-30,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-rit-006,"Levada de Samba e Condução de Choro",ritmo,obrigatorio_com_prerequisito,aula-prop-022,"Apresentação teórica e demonstração do gesto motor de Levada de Samba e Condução de Choro","Toque levada de samba em 2/4 em sequência C - G7 mantendo o molho rítmico.","Execução com clareza dos acentos no segundo tempo do compasso binário",aula-mod-6-6,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-rit-007,"As Levadas de Baden Powell (Mão Direita)",ritmo,obrigatorio_com_prerequisito,aula-prop-024,"Apresentação teórica e demonstração do gesto motor de As Levadas de Baden Powell (Mão Direita)","Toque o padrão de Berimbau ou Canto de Ossanha em andamento estável.","Execução das levadas características mantendo pulso firme e dinâmica expressiva",aula-kaiser-36-4-aula-da-levada-1-exercicio-2-batida-co,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-ouv-001,"Discriminação de Alturas Relativas (Grave vs. Agudo)",ouvido,obrigatorio_fundamental,aula-prop-002,"Apresentação teórica e demonstração do gesto motor de Discriminação de Alturas Relativas (Grave vs. Agudo)","Ouça 5 pares de notas sem olhar para o braço e anote 'subiu' ou 'desceu'.","Mínimo de 9 acertos em 10 tentativas",aula-mod-1-15,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-ouv-002,"Reconhecimento Auditivo de Intervalos Diatônicos (2ªM e 3ªM)",ouvido,obrigatorio_com_prerequisito,aula-prop-012,"Apresentação teórica e demonstração do gesto motor de Reconhecimento Auditivo de Intervalos Diatônicos (2ªM e 3ªM)","Escute 10 intervalos tocados e classifique cada um como 2ª Maior ou 3ª Maior.","Mínimo de 8 acertos em 10 comparações",aula-mod-1-15,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
hab-ouv-003,"Entoação Vocal de Intervalos Diatônicos",ouvido,obrigatorio_com_prerequisito,aula-prop-013,"Apresentação teórica e demonstração do gesto motor de Entoação Vocal de Intervalos Diatônicos","Toque a nota Dó na 5ª corda (3ª casa), cante a 2ª Maior (Ré) e depois confira na 4ª corda solta.","Afinar a nota cantada em uníssono com a conferência no instrumento em 4 de 5 tentativas",aula-mod-1-15,"Inspeção presencial Nível 2 na Etapa 2 para calibrar andamento e critérios finos de rubrica"
