evidencia_id,entidade_id,tipo_entidade,fonte_tipo,referencia_arquivo_ou_id,afirmacao_ou_operacao_executada,status_verificacao,data_registro,observacoes
evid-dag-habilidades,mapa-habilidades,grafo_dag,MAPA-HABILIDADES.json,"MAPA-HABILIDADES.json",Grafo acíclico de 29 habilidades validado via algoritmo DFS recursivo sem nenhum ciclo,verificado_programatico,2026-09-14,Validado com 0 ciclos
evid-dag-aulas,aulas-propostas,grafo_dag,AULAS-PROPOSTAS.json,"AULAS-PROPOSTAS.json",Grafo acíclico de 33 propostas de aulas validado via algoritmo DFS recursivo sem nenhum ciclo,verificado_programatico,2026-09-14,Validado com 0 ciclos
evid-matriz-cobertura,matriz-cobertura,sistema,MATRIZ-FONTE-AULA.csv,"MATRIZ-FONTE-AULA.csv",Mapeamento exaustivo de todas as 631 entradas canônicas do catálogo original,verificado_programatico,2026-09-14,100% das entradas cobertas
evid-hab-hab-rit-001,hab-rit-001,habilidade,curriculo,MAPA-HABILIDADES.json,"Definição pedagógica de Manutenção de Pulso Isócrono no domínio ritmo",verificado_documental,2026-09-14,Habilidade cadastrada no DAG
evid-hab-hab-rit-002,hab-rit-002,habilidade,curriculo,MAPA-HABILIDADES.json,"Definição pedagógica de Subdivisão Rítmica de Colcheias no domínio ritmo",verificado_documental,2026-09-14,Habilidade cadastrada no DAG
evid-hab-hab-rit-003,hab-rit-003,habilidade,curriculo,MAPA-HABILIDADES.json,"Definição pedagógica de Execução da Levada Balada Básica no domínio ritmo",verificado_documental,2026-09-14,Habilidade cadastrada no DAG
evid-hab-hab-rit-004,hab-rit-004,habilidade,curriculo,MAPA-HABILIDADES.json,"Definição pedagógica de Levada com Elemento Percussivo (Thumb Slap) no domínio ritmo",verificado_documental,2026-09-14,Habilidade cadastrada no DAG
evid-hab-hab-rit-005,hab-rit-005,habilidade,curriculo,MAPA-HABILIDADES.json,"Definição pedagógica de Levada de Bossa Nova Básica (Estilo João Gilberto) no domínio ritmo",verificado_documental,2026-09-14,Habilidade cadastrada no DAG
evid-hab-hab-rit-006,hab-rit-006,habilidade,curriculo,MAPA-HABILIDADES.json,"Definição pedagógica de Levada de Samba e Condução de Choro no domínio ritmo",verificado_documental,2026-09-14,Habilidade cadastrada no DAG
evid-hab-hab-rit-007,hab-rit-007,habilidade,curriculo,MAPA-HABILIDADES.json,"Definição pedagógica de As Levadas de Baden Powell (Mão Direita) no domínio ritmo",verificado_documental,2026-09-14,Habilidade cadastrada no DAG
evid-hab-hab-ouv-001,hab-ouv-001,habilidade,curriculo,MAPA-HABILIDADES.json,"Definição pedagógica de Discriminação de Alturas Relativas (Grave vs. Agudo) no domínio ouvido",verificado_documental,2026-09-14,Habilidade cadastrada no DAG
