habilidade_ou_tarefa_id,antecedente_id,tipo_relacao,justificativa_tarefa,tipo_evidencia_ou_hipotese
hab-rit-002,hab-rit-001,necessario,"A execução da tarefa Subdivisão Rítmica de Colcheias exige o controle motor ou perceptivo prévio de Manutenção de Pulso Isócrono para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-rit-003,hab-rit-002,necessario,"A execução da tarefa Execução da Levada Balada Básica exige o controle motor ou perceptivo prévio de Subdivisão Rítmica de Colcheias para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-rit-004,hab-rit-003,necessario,"A execução da tarefa Levada com Elemento Percussivo (Thumb Slap) exige o controle motor ou perceptivo prévio de Execução da Levada Balada Básica para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-rit-004,hab-tec-004,necessario,"A execução da tarefa Levada com Elemento Percussivo (Thumb Slap) exige o controle motor ou perceptivo prévio de Dedilhado Básico p-i-m-a (Arpejos Simples) para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-rit-005,hab-rit-003,recomendado,"A levada de balada desenvolve o pêndulo contínuo, servindo de apoio preparatório para a síncopa de bossa nova.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-rit-005,hab-tec-004,necessario,"A execução da tarefa Levada de Bossa Nova Básica (Estilo João Gilberto) exige o controle motor ou perceptivo prévio de Dedilhado Básico p-i-m-a (Arpejos Simples) para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-rit-006,hab-rit-005,recomendado,"O samba pode ser explorado livremente em paralelo à bossa nova conforme interesse do aluno.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-rit-007,hab-rit-006,necessario,"A execução da tarefa As Levadas de Baden Powell (Mão Direita) exige o controle motor ou perceptivo prévio de Levada de Samba e Condução de Choro para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-ouv-002,hab-ouv-001,necessario,"A execução da tarefa Reconhecimento Auditivo de Intervalos Diatônicos (2ªM e 3ªM) exige o controle motor ou perceptivo prévio de Discriminação de Alturas Relativas (Grave vs. Agudo) para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-ouv-003,hab-ouv-002,necessario,"A execução da tarefa Entoação Vocal de Intervalos Diatônicos exige o controle motor ou perceptivo prévio de Reconhecimento Auditivo de Intervalos Diatônicos (2ªM e 3ªM) para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-ouv-004,hab-ouv-002,necessario,"A execução da tarefa Reconhecimento de Tríades Maiores e Menores exige o controle motor ou perceptivo prévio de Reconhecimento Auditivo de Intervalos Diatônicos (2ªM e 3ªM) para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-ouv-005,hab-ouv-003,necessario,"A execução da tarefa Tirar Frase Melódica Curta de Ouvido exige o controle motor ou perceptivo prévio de Entoação Vocal de Intervalos Diatônicos para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-ouv-005,hab-lei-002,necessario,"A execução da tarefa Tirar Frase Melódica Curta de Ouvido exige o controle motor ou perceptivo prévio de Leitura de Tablatura em Primeira Posição para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-lei-002,hab-lei-001,necessario,"A execução da tarefa Leitura de Tablatura em Primeira Posição exige o controle motor ou perceptivo prévio de Identificação das Cordas Soltas e Cifras Básicas para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-lei-003,hab-rit-002,necessario,"A execução da tarefa Leitura de Partitura Musical (Clave de Sol na 1ª Posição) exige o controle motor ou perceptivo prévio de Subdivisão Rítmica de Colcheias para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-lei-003,hab-lei-001,recomendado,"Reconhecer cifras e cordas soltas facilita a leitura na clave de sol, mas não bloqueia o início simultâneo do solfejo.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-tec-002,hab-tec-001,necessario,"A execução da tarefa Toque da Mão Direita com Polegar e Dedos Indicador/Médio exige o controle motor ou perceptivo prévio de Postura Ergonômica e Apoios do Violão para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-tec-003,hab-tec-002,necessario,"A execução da tarefa Troca Mecânica Fluente de Acordes (Dedo Guia / Pivô) exige o controle motor ou perceptivo prévio de Toque da Mão Direita com Polegar e Dedos Indicador/Médio para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-tec-003,hab-lei-001,necessario,"A execução da tarefa Troca Mecânica Fluente de Acordes (Dedo Guia / Pivô) exige o controle motor ou perceptivo prévio de Identificação das Cordas Soltas e Cifras Básicas para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-tec-004,hab-tec-002,necessario,"A execução da tarefa Dedilhado Básico p-i-m-a (Arpejos Simples) exige o controle motor ou perceptivo prévio de Toque da Mão Direita com Polegar e Dedos Indicador/Médio para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-tec-005,hab-tec-003,necessario,"A execução da tarefa Montagem de Pestana Mecânica com Alavanca exige o controle motor ou perceptivo prévio de Troca Mecânica Fluente de Acordes (Dedo Guia / Pivô) para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-aco-001,hab-rit-003,necessario,"A execução da tarefa Acompanhamento de Repertório com Acordes Abertos exige o controle motor ou perceptivo prévio de Execução da Levada Balada Básica para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-aco-001,hab-tec-003,necessario,"A execução da tarefa Acompanhamento de Repertório com Acordes Abertos exige o controle motor ou perceptivo prévio de Troca Mecânica Fluente de Acordes (Dedo Guia / Pivô) para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-aco-002,hab-aco-001,necessario,"A execução da tarefa Condução de Baixos nos Acordes (Baixo Alternado / Inversões) exige o controle motor ou perceptivo prévio de Acompanhamento de Repertório com Acordes Abertos para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-aco-002,hab-tec-004,necessario,"A execução da tarefa Condução de Baixos nos Acordes (Baixo Alternado / Inversões) exige o controle motor ou perceptivo prévio de Dedilhado Básico p-i-m-a (Arpejos Simples) para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-har-001,hab-aco-001,necessario,"A execução da tarefa Compreensão e Aplicação do Campo Harmônico Maior exige o controle motor ou perceptivo prévio de Acompanhamento de Repertório com Acordes Abertos para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-har-001,hab-ouv-004,necessario,"A execução da tarefa Compreensão e Aplicação do Campo Harmônico Maior exige o controle motor ou perceptivo prévio de Reconhecimento de Tríades Maiores e Menores para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-har-002,hab-tec-005,necessario,"A execução da tarefa Sistema CAGED e Formatos Móveis de Acordes exige o controle motor ou perceptivo prévio de Montagem de Pestana Mecânica com Alavanca para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-har-002,hab-har-001,necessario,"A execução da tarefa Sistema CAGED e Formatos Móveis de Acordes exige o controle motor ou perceptivo prévio de Compreensão e Aplicação do Campo Harmônico Maior para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-sol-001,hab-tec-004,necessario,"A execução da tarefa Melodia com Baixo Simultâneo (Textura Polifônica a Duas Vozes) exige o controle motor ou perceptivo prévio de Dedilhado Básico p-i-m-a (Arpejos Simples) para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-sol-001,hab-lei-002,recomendado,"A leitura por tablatura apoia o aprendizado da Pequena Valsa, mas a memorização por imitação auditiva é permitida.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-sol-002,hab-sol-001,necessario,"A execução da tarefa Arranjo Fingerstyle Completo (Melodia, Baixo e Harmonia) exige o controle motor ou perceptivo prévio de Melodia com Baixo Simultâneo (Textura Polifônica a Duas Vozes) para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-sol-002,hab-rit-006,necessario,"A execução da tarefa Arranjo Fingerstyle Completo (Melodia, Baixo e Harmonia) exige o controle motor ou perceptivo prévio de Levada de Samba e Condução de Choro para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-sol-002,hab-aco-002,necessario,"A execução da tarefa Arranjo Fingerstyle Completo (Melodia, Baixo e Harmonia) exige o controle motor ou perceptivo prévio de Condução de Baixos nos Acordes (Baixo Alternado / Inversões) para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-exp-001,hab-tec-002,necessario,"A execução da tarefa Dinâmica e Fraseado Expressivo exige o controle motor ou perceptivo prévio de Toque da Mão Direita com Polegar e Dedos Indicador/Médio para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-exp-002,hab-rit-003,necessario,"A execução da tarefa Variação de Levada e Ornamentação Rítmica exige o controle motor ou perceptivo prévio de Execução da Levada Balada Básica para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-exp-003,hab-har-001,necessario,"A execução da tarefa Improvisação Melódica sobre Blues / I-IV-V exige o controle motor ou perceptivo prévio de Compreensão e Aplicação do Campo Harmônico Maior para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
hab-exp-003,hab-ouv-003,necessario,"A execução da tarefa Improvisação Melódica sobre Blues / I-IV-V exige o controle motor ou perceptivo prévio de Entoação Vocal de Intervalos Diatônicos para evitar bloqueios ou sobrecarga cognitiva.","Hipótese pedagógica a ser validada nas sessões de estudo com estudantes"
