id_evidencia,tipo_evidencia,arquivo_id,localizacao_fonte,afirmacao_sustentada,metodo_verificacao,confianca,observacao
evid-fis-001,fisica_arquivo,arq-0460,sistema_arquivos,"Arquivo físico '0. Pequena Valsa' tem 128.104 bytes e hash sha256 8a6ab1739f7eec07f758aec998244e82d891b280ba43bf87b003e78328252b32.",leitura_fs_e_hash_crypto,alta,"Conferido contra tabela ARQUIVOS-FISICOS.json da Etapa 0 v04."
evid-fis-002,fisica_arquivo,arq-0460,catalogo,"Entrada canônica aula-kaiser-137-10-pequena-valsa-ferdinando-carulli-viol no acervo Kaiserplay.",reconciliacao_inventario,alta,"Mapeamento 1:1 confirmado sem duplicidade."
evid-mus-001,musical_partitura,arq-0460,"p.1, cabecalho","Obra intitulada 'Valsa', atribuída a 'F. Carulli', em afinação padrão ('Standard tuning') para violão clássico ('N-Gt').",inspecao_visual_poppler,alta,"Observado na renderização gráfica de alta resolução arq-0460.png."
evid-mus-002,musical_partitura,arq-0460,"p.1, sis.1, c.1","Fórmula de compasso é 3/8 (três colcheias por compasso) e armadura não contém acidentes.",inspecao_visual_poppler,alta,"Constatado 3/8 grafado explicitamente na pauta e tablatura."
evid-mus-003,musical_partitura,arq-0460,"p.1, sis.1, c.1","Baixo inicial no c.1 é semínima pontuada sustentada (Dó central C4 escrito, 5ª corda casa 3) com haste para baixo e ponto.",inspecao_visual_poppler,alta,"Tablatura indica número 3 com ponto ('3.') e haste para baixo com ponto na pauta."
evid-mus-004,musical_partitura,arq-0460,"p.1, sis.1, c.1","Voz superior no c.1 ataca bicordes [Dó5, Mi5] nos tempos 2 e 3 em colcheias, com tempo 1 em silêncio.",inspecao_visual_poppler,alta,"Tablatura registra 0 na 1ª corda e 1 na 2ª corda nos tempos 2 e 3."
evid-mus-005,musical_partitura,arq-0460,"p.1, sis.1, c.2","Compasso 2 apresenta baixo Ré4 escrito (4ª corda solta) como semínima pontuada e bicorde [Si4, Fá5] nos tempos 2 e 3.",inspecao_visual_poppler,alta,"Tablatura indica 0. na 4ª corda e bicordes 1 (corda 1) / 0 (corda 2)."
evid-mus-006,musical_partitura,arq-0460,"p.1, sis.1, c.3","Compasso 3 repete a estrutura do c.1 (baixo Dó sustentado e bicordes C-E).",inspecao_visual_poppler,alta,"Idêntico ao compasso 1."
evid-mus-007,musical_partitura,arq-0460,"p.1, sis.2, c.4","Compasso 4 apresenta frase melódica em 3 colcheias unidas por barra (Sol5, Mi5, Sol4 escritos), sem ataque no baixo.",inspecao_visual_poppler,alta,"Tablatura indica 3 na 1ª corda, 0 na 1ª corda e 0 na 3ª corda."
evid-cur-001,curricular,matriz_v03,"MATRIZ-FONTE-AULA.csv linha aula-kaiser-137","Mapeamento para aula-prop-029 ('Polifonia a Duas Vozes: Pequena Valsa de Carulli') vinculada ao mod-ped-12 e habilidade hab-sol-001.",parser_csv_etapa1,alta,"Vínculo curricular validado na mesma linha da matriz."
evid-aud-001,audiovisual_pendente,arq-0461,"video_completo","Gravação da aula pelo professor (1. Aula.mp4) não observada na presente rodada analítica.",declaracao_escopo_limite,alta,"Classificado honestamente como pendente; nenhum gesto ou fala atribuído ao professor."
