entradaOrigemId,arquivoId,aulaPropostaId,habilidadeId,tipoRelacao,decisaoProvisoria,justificativa,nivelInspecao,evidenciaId,pendenciaId
aula-mod-1-1,arq-1190,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,revisao_apoio,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-1-1,"nenhuma"
aula-mod-1-2,arq-1206,aula-prop-004,hab-rit-001,conteudo_principal,fundir,"Unificação de conceitos de ritmo elementar e contagem quaternária em uma única aula prática.",legenda_indexada,evid-aula-mod-1-2,"nenhuma"
aula-mod-1-3,arq-1230,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-1-3,"nenhuma"
aula-mod-1-4,arq-1241,aula-prop-001,hab-tec-001,conteudo_principal,manter_aula_individual,"Fundamento ergonômico indispensável antes do contato instrumental com carga.",legenda_indexada,evid-aula-mod-1-4,"nenhuma"
aula-mod-1-5,arq-1252,aula-prop-003,hab-tec-002,conteudo_principal,manter_aula_individual,"Mecânica inicial de ataque nas cordas sem tensão nos dedos.",legenda_indexada,evid-aula-mod-1-5,"nenhuma"
aula-mod-1-6,arq-1262,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-1-6,"nenhuma"
aula-mod-1-7,arq-1271,aula-prop-002,hab-lei-001,conteudo_principal,manter_aula_individual,"Procedimento operacional essencial para qualquer estudo musical.",metadados_catalogo,evid-aula-mod-1-7,"nenhuma"
aula-mod-1-8,arq-1287,aula-prop-004,hab-rit-001,recurso_complementar,fundir,"Unificação de conceitos de ritmo elementar e contagem quaternária em uma única aula prática.",legenda_indexada,evid-aula-mod-1-8,"nenhuma"
aula-mod-1-9,arq-1307,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,manter_aula_individual,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",legenda_indexada,evid-aula-mod-1-9,"nenhuma"
aula-mod-1-10,arq-1324,aula-prop-005,hab-tec-003,conteudo_principal,fundir,"Integração do formato de A e D com o trabalho mecânico de fluência de transição.",metadados_catalogo,evid-aula-mod-1-10,"nenhuma"
aula-kaiser-64-1-como-estudar-no-kaiserplay,arq-0194,AULA_A_CURAR_EXPANSAO,hab-pendente-inspecao,fonte_candidata,revisao_apoio,"Recurso mapeado no acervo para curadoria nos lotes subsequentes à calibração",metadados_catalogo,evid-aula-kaiser-64-1-como-estudar-no-kaiserplay,"apenas_documentacao_sem_midia; sem_link_remoto"
