entradaOrigemId,arquivoId,aulaPropostaId,habilidadeId,destinoEditorialId,tipoRelacao,decisaoProvisoria,justificativa,nivelInspecao,evidenciaId,pendenciaId
aula-mod-1-4,arq-1241,aula-prop-001,hab-tec-001,,conteudo_principal,manter_aula_individual,"Fundamento ergonômico indispensável antes do contato instrumental com carga motora.",legenda_indexada,evid-matriz-aula-prop-001-aula-mod-1-4,""
aula-mod-1-7,arq-1271,aula-prop-002,hab-lei-001,,conteudo_principal,manter_aula_individual,"Procedimento operacional essencial para qualquer estudo musical.",metadados_catalogo,evid-matriz-aula-prop-002-aula-mod-1-7,""
aula-mod-1-5,arq-1252,aula-prop-003,hab-tec-002,,conteudo_principal,manter_aula_individual,"Mecânica inicial de ataque nas cordas sem tensão nos dedos.",legenda_indexada,evid-matriz-aula-prop-003-aula-mod-1-5,""
aula-mod-1-2,arq-1206,aula-prop-004,hab-rit-001,,conteudo_principal,fundir,"Unificação de conceitos de ritmo elementar e contagem quaternária em uma única aula prática.",legenda_indexada,evid-matriz-aula-prop-004-aula-mod-1-2,""
aula-mod-1-8,arq-1287,aula-prop-004,hab-rit-001,,recurso_complementar,fundir,"Unificação de conceitos de ritmo elementar e contagem quaternária em uma única aula prática.",legenda_indexada,evid-matriz-aula-prop-004-aula-mod-1-8,""
aula-mod-1-10,arq-1324,aula-prop-005,hab-tec-003,,conteudo_principal,fundir,"Integração do formato de A e D com o trabalho mecânico de fluência de transição.",metadados_catalogo,evid-matriz-aula-prop-005-aula-mod-1-10,""
aula-mod-1-11,arq-1331,aula-prop-005,hab-tec-003,,recurso_complementar,fundir,"Integração do formato de A e D com o trabalho mecânico de fluência de transição.",metadados_catalogo,evid-matriz-aula-prop-005-aula-mod-1-11,""
aula-mod-1-13,arq-1346,aula-prop-006,hab-tec-003,,conteudo_principal,fundir,"Posicionamento correto das pontas dos dedos próximo aos trastes nos acordes E e Em.",metadados_catalogo,evid-matriz-aula-prop-006-aula-mod-1-13,""
aula-mod-1-14,arq-1350,aula-prop-006,hab-tec-003,,recurso_complementar,fundir,"Posicionamento correto das pontas dos dedos próximo aos trastes nos acordes E e Em.",metadados_catalogo,evid-matriz-aula-prop-006-aula-mod-1-14,""
aula-mod-1-23,arq-1441,aula-prop-007,hab-tec-003,,conteudo_principal,fundir,"Consolidação dos acordes abertos com abertura maior entre os dedos (C e G).",legenda_indexada,evid-matriz-aula-prop-007-aula-mod-1-23,""
aula-mod-1-24,arq-1449,aula-prop-007,hab-tec-003,,recurso_complementar,fundir,"Consolidação dos acordes abertos com abertura maior entre os dedos (C e G).",metadados_catalogo,evid-matriz-aula-prop-007-aula-mod-1-24,""
aula-mod-1-17,arq-1380,aula-prop-008,hab-rit-003,,conteudo_principal,manter_aula_individual,"Aula de calibração didática do domínio rítmico fundamental de acompanhamento.",legenda_indexada,evid-matriz-aula-prop-008-aula-mod-1-17,""
aula-mod-1-19,arq-1400,aula-prop-009,hab-aco-001,,conteudo_principal,fundir,"Aplicação direta da balada básica na progressão harmônica clássica.",legenda_indexada,evid-matriz-aula-prop-009-aula-mod-1-19,""
aula-mod-1-20,arq-1407,aula-prop-009,hab-aco-001,,recurso_complementar,fundir,"Aplicação direta da balada básica na progressão harmônica clássica.",legenda_indexada,evid-matriz-aula-prop-009-aula-mod-1-20,""
aula-mod-1-21,arq-1419,aula-prop-010,hab-rit-002,,conteudo_principal,manter_aula_individual,"Desenvolvimento da flexibilidade rítmica através de acentuações deliberadas.",legenda_indexada,evid-matriz-aula-prop-010-aula-mod-1-21,""
aula-mod-1-6,arq-1262,aula-prop-011,hab-ouv-001,,conteudo_principal,manter_aula_individual,"Fundamento da percepção auditiva: identificar direção do movimento melódico.",legenda_indexada,evid-matriz-aula-prop-011-aula-mod-1-6,""
aula-mod-1-15,arq-1359,aula-prop-012,hab-ouv-002,,conteudo_principal,fundir,"Aula de calibração auditiva com explicação conceitual e prática de ditado sensorial.",legenda_indexada,evid-matriz-aula-prop-012-aula-mod-1-15,""
