"item_id","tipo","caminho_arquivo","status_verificacao","observacoes"
"FINA-01","proveniencia","aula.json","conferido_base_fisica","Fonte arq-0408 associada com nome real '0. 1', 51.500 bytes e hash SHA-256 decfdf2e... conferidos em ARQUIVOS-FISICOS.json"
"FINA-01","proveniencia","AULA.md","conferido_base_fisica","Anexo técnico descreve nome físico real '0. 1', tamanho 51.500 bytes e hash canônico decfdf2e... distinguindo de mat-lei-001"
"FINA-02","identidade","aula.json","id_restaurado","ID pedagógico estável aula-ped-017-leitura-clave-sol restaurado; candidato_id cand-004 mantido em campo próprio"
"FINA-02","identidade","AULA.md","id_restaurado","Anexo técnico registra aula-ped-017-leitura-clave-sol e cand-004 separadamente"
"FINA-03","recursos_graficos","recursos/sistema-1-c1-c2.png","limpo_sem_respostas","Subtítulo limpo: 'Compassos 1-2 | Clave de Sol | 4/4 | Pauta Limpa para Leitura' sem nomes de notas"
"FINA-03","recursos_graficos","recursos/sistema-2-c3-c4.png","limpo_sem_respostas","Subtítulo limpo: 'Compassos 3-4 | Clave de Sol | 4/4 | Pauta Limpa para Leitura' sem nomes de notas"
"FINA-03","recursos_graficos","recursos/pauta-limpa.png","limpo_sem_respostas","Pauta limpa sem nomes de notas em títulos ou subtítulos"
"FINA-03","recursos_graficos","recursos/pauta-celular.png","limpo_sem_respostas","Pauta vertical sem nomes de notas no cabeçalho"
"FINA-04","pedagogia","AULA.md","conclusao_sobria","Sucesso na revisão em 24-48h indica recuperação bem-sucedida nesta tentativa, sem inferência de domínio definitivo"
"FINA-04","pedagogia","AULA.md","hz_desobrigado_saida","Frequências em Hz removidas da Questão 1 da avaliação de saída (leitura elementar); mantidas no anexo e tabela de apoio"
"FINA-05","ergonomia_visual","VERIFICACOES.md","calculo_escala_corrigido","Cálculo corrigido: 343/800 = 42,9% lógico (redução de 57,1%); 343/1600 = 21,4% físico; limites da simulação registrados; distância física não testada"
"FINA-05","imagem","recursos/simulacao-mobile-343px.png","simulacao_gerada","Simulação visual real em canvas de 375 px com área útil de 343 px gerada e inspecionada"
"FINA-06","concordancia","AULA.md","gerado_do_json","AULA.md é gerado deterministicamente a partir de aula.json via renderAulaMarkdown(), conferido contra a renderização determinística desta aula"
"FINA-06","validador","validar-aula.cjs","funcao_reutilizavel_e_mutacoes","Função validarAulaPacote reutilizável executa entrega oficial e 9 mutações em cópias físicas pela mesma função de validação"
